sample,gender,age_group,phone
2,1,1,2
12,1,1,2
13,1,1,1
20,1,1,1
22,1,1,2
28,1,1,1
35,1,1,1
40,1,1,1
43,1,1,2
47,1,1,2
49,1,1,1
52,1,1,2
59,1,1,2
63,1,1,1
65,2,1,1
69,2,1,2
72,2,1,1
73,2,1,1
78,2,1,2
82,2,1,1
98,2,1,2
101,2,1,1
109,2,1,1
110,2,1,1
111,2,1,2
117,2,1,1
120,2,1,1
9,1,2,1
25,2,2,2
26,1,2,2
27,2,2,2
29,1,2,2
34,2,2,1
36,1,2,1
37,2,2,1
50,1,2,1
54,2,2,1
56,1,2,2
57,2,2,1
62,1,2,2
66,2,2,2
68,1,2,1
71,2,2,1
75,1,2,2
80,2,2,1
85,1,2,2
87,2,2,1
89,1,2,2
92,2,2,1
94,1,2,2
96,2,2,1
3,1,3,2
7,2,3,2
15,1,3,2
16,2,3,2
18,1,3,2
23,2,3,2
24,1,3,1
30,2,3,2
31,1,3,1
32,2,3,2
33,1,3,2
39,2,3,1
42,1,3,2
46,2,3,2
53,1,3,1
77,2,3,1
79,1,3,2
86,2,3,2
88,1,3,2
105,2,3,2
107,1,3,1
113,2,3,1
114,1,3,2
115,2,3,2
116,1,3,1
119,2,3,1
4,1,4,2
5,2,4,1
6,1,4,2
8,2,4,2
10,1,4,2
11,2,4,1
17,1,4,2
19,2,4,2
38,1,4,2
44,2,4,1
55,1,4,1
61,2,4,1
64,1,4,2
67,2,4,2
83,1,4,2
84,2,4,2
91,1,4,2
93,2,4,2
97,1,4,2
100,2,4,2
108,1,4,2
1,2,5,2
14,1,5,1
21,2,5,1
41,1,5,2
45,2,5,1
48,1,5,2
51,2,5,2
58,1,5,2
60,2,5,2
70,1,5,1
74,2,5,2
76,1,5,2
81,2,5,2
90,1,5,2
95,2,5,2
99,1,5,2
102,2,5,1
103,1,5,2
104,2,5,2
106,1,5,2
112,2,5,2
118,1,5,2
